Image_Metadata_Plate,Image_Metadata_Well,Image_FileName_OrigHoechst,Image_Count_Nuclei,Image_Metadata_GeneID,Image_Metadata_GeneSymbol,Image_Metadata_IsLandmark,Image_Metadata_AlleleDesc,Image_Metadata_ExpressionVector,Image_Metadata_FlaggedForToxicity,Image_Metadata_IE_Blast_noBlast,Image_Metadata_IntendedOrfMismatch,Image_Metadata_OpenOrClosed,Image_Metadata_RNAiVirusPlateName,Image_Metadata_Site,Image_Metadata_TimePoint_Hours,Image_Metadata_Type,Image_Metadata_Virus_Vol_ul,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_QCFlag_isBlurry,Image_Metadata_QCFlag_isSaturated
41744,m09,taoe005-u2os-72h-cp-a-au00044859_m09_s8_w12d878866-e5f8-4d3e-bf0e-573c601fa929.tif,72,5295,PIK3R1,0,WT.2,pLX304,,0.97,,open,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,m04,taoe005-u2os-72h-cp-a-au00044859_m04_s8_w111f3c12c-5f23-4267-9aa6-f4270bd613b4.tif,3,5566,PRKACA,1,WT.2,pLX304,Toxic,0.96,,closed,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,l15,taoe005-u2os-72h-cp-a-au00044859_l15_s5_w1a34a0d9c-34c6-4906-93cb-4676fe3633d8.tif,64,4851,NOTCH1,1,WT.1,pLX304,,1.12,,,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,l09,taoe005-u2os-72h-cp-a-au00044859_l09_s4_w13be178fe-2b11-45c9-8c2b-4024dca40949.tif,123,,EMPTY,,,,,0.08,,,ORA11.12.13.18A,4,72H,"ORF OE",1,Untreated,0,0
41744,n10,taoe005-u2os-72h-cp-a-au00044859_n10_s7_w168f11413-54b1-496c-ad97-a8d35ded39ff.tif,50,64798,DEPTOR,0,WT.2,pLX304,,0.83,,closed,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
41744,l05,taoe005-u2os-72h-cp-a-au00044859_l05_s1_w132d92421-9308-46f7-bc7a-288c34ceec4d.tif,48,7189,TRAF6,0,WT.1,pLX304,,1.06,,closed,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,j21,taoe005-u2os-72h-cp-a-au00044859_j21_s4_w1558b2388-9790-4e0d-9187-b6edd145c8ee.tif,81,54583,EGLN1,0,WT.2,pLX304,,1.12,,closed,ORA11.12.13.18A,4,72H,"ORF OE",1,Treated,0,0
41744,n15,taoe005-u2os-72h-cp-a-au00044859_n15_s7_w13accb27e-2695-40db-80d9-88cb3ca423c6.tif,43,5590,PRKCZ,0,K281R,pLX304,,0.9,,closed,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
41744,m15,taoe005-u2os-72h-cp-a-au00044859_m15_s9_w141d1e235-de45-461a-8546-534868e6b6df.tif,69,5567,PRKACB,0,WT.3,pLX304,,0.77,,open,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
41744,l12,taoe005-u2os-72h-cp-a-au00044859_l12_s8_w16d66c50c-7bf0-4d61-a7d7-1e8cc681c91f.tif,48,22926,ATF6,1,WT.2,pLX304,,1.18,,closed,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,l08,taoe005-u2os-72h-cp-a-au00044859_l08_s9_w1471a2dc9-d31a-4ac3-a6d0-8df2a56eba38.tif,112,5568,PRKACG,0,WT.3,pLX304,,1.07,,closed,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
41744,k03,taoe005-u2os-72h-cp-a-au00044859_k03_s1_w150d8a17a-f91e-4349-8fd5-b917c2f0ca5d.tif,118,56616,DIABLO,0,WT,pLX304,,1.27,,open,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,m08,taoe005-u2os-72h-cp-a-au00044859_m08_s7_w10f6cb5a1-b065-41a1-9f70-a792617d4a3f.tif,90,1147,CHUK,0,WT.1.mismatch,pLX304,,0.94,mismatch,closed,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
41744,k14,taoe005-u2os-72h-cp-a-au00044859_k14_s1_w19a3312ca-b253-4bb5-ae60-520baf01387f.tif,107,10128,LRPPRC,0,WT,pLX304,,1.08,,open,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,m09,taoe005-u2os-72h-cp-a-au00044859_m09_s3_w1d7407fad-1cd3-45d5-9a7a-8aacf594f10f.tif,70,5295,PIK3R1,0,WT.2,pLX304,,0.97,,open,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,l01,taoe005-u2os-72h-cp-a-au00044859_l01_s2_w1fcaf43b5-ab2c-44cf-bcfc-8233c267c1e0.tif,45,7248,TSC1,0,WT.1,pLX304,,0.91,,closed,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,l21,taoe005-u2os-72h-cp-a-au00044859_l21_s1_w1012e2799-f54a-422a-b15d-e9196abf3e8f.tif,106,81892,SLIRP,0,WT.1,pLX304,,1.04,,open,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,k04,taoe005-u2os-72h-cp-a-au00044859_k04_s2_w1d1625993-8311-4420-9a23-8363bf81739b.tif,131,8569,MKNK1,1,WT,pLX304,,1.1,,open,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,l03,taoe005-u2os-72h-cp-a-au00044859_l03_s9_w1723d23b6-e942-4686-a3eb-0b20221a9502.tif,78,7248,TSC1,0,WT.2,pLX304,,0.07,,,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,0
41744,m15,taoe005-u2os-72h-cp-a-au00044859_m15_s4_w15ee608c2-432b-4040-a1ce-59a593d7b832.tif,118,5567,PRKACB,0,WT.3,pLX304,,0.77,,open,ORA11.12.13.18A,4,72H,"ORF OE",1,Treated,0,0
41744,m19,taoe005-u2os-72h-cp-a-au00044859_m19_s8_w1b9ca86f7-0280-4f29-9fa2-add32ad9ce81.tif,13,5894,RAF1,0,WT.2,pLX304,,0.95,,open,ORA11.12.13.18A,8,72H,"ORF OE",1,Treated,0,0
41744,n06,taoe005-u2os-72h-cp-a-au00044859_n06_s3_w1afa4c99c-609d-4eab-95ce-ba787fa8022a.tif,62,2735,GLI1,0,WT,pLX304,,0.95,,closed,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,j11,taoe005-u2os-72h-cp-a-au00044859_j11_s6_w13fcbb769-fd3d-4cb8-8d0e-d85cd80f2d90.tif,120,1540,CYLD,0,WT,pLX304,,0.92,,closed,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,l18,taoe005-u2os-72h-cp-a-au00044859_l18_s4_w1a810688c-f91a-400d-9508-2c16ef68b82e.tif,85,,EMPTY,,,,,0.12,,,ORA11.12.13.18A,4,72H,"ORF OE",1,Untreated,0,0
