,AKT1S1,ATF4,BAX,BCL2L11,BRAF,CASP8,CDC42,CDKN1A,CEBPA,CREB1,CXXC4,DIABLO,E2F1,ELK1,EMPTY,ERG,FGFR3,FOXO1,GLI1,HRAS,IRAK4,JUN,MAP2K3,MAP3K2,MAP3K5,MAP3K9,MAPK7,MOS,MYD88,PIK3R2,PRKACA,PRKCE,RAF1,RELB,RHOA,SMAD4,SMO,SRC,SREBF1,TRAF2,TSC2,WWTR1
JUN,0.001949317738791423,0.0035087719298245615,0.006627680311890838,0.0050682261208577,0.0023391812865497076,0.006627680311890838,0.0023391812865497076,0.0003898635477582846,0.06705653021442495,0.0050682261208577,0.020662768031189084,0.0007797270955165692,0.014035087719298246,0.019103313840155945,0.0,0.04366471734892788,0.012085769980506823,0.0015594541910331384,0.0050682261208577,0.0027290448343079924,0.001949317738791423,0.6947368421052632,0.0011695906432748538,0.0,0.0011695906432748538,0.0,0.0,0.0007797270955165692,0.0,0.0011695906432748538,0.023781676413255362,0.003898635477582846,0.017153996101364522,0.0,0.007797270955165692,0.0011695906432748538,0.0,0.013255360623781676,0.0,0.0015594541910331384,0.0003898635477582846,0.00935672514619883
MAP2K3,0.0172927847346452,0.004770423375074538,0.0017889087656529517,0.007751937984496124,0.0041741204531902205,0.008348240906380441,0.00655933214072749,0.031604054859868815,0.0005963029218843172,0.0,0.00655933214072749,0.0029815146094215863,0.0005963029218843172,0.004770423375074538,0.004770423375074538,0.0041741204531902205,0.0,0.00655933214072749,0.0011926058437686344,0.01073345259391771,0.0035778175313059034,0.0011926058437686344,0.5205724508050089,0.033392963625521764,0.03577817531305903,0.0041741204531902205,0.07573047107930829,0.022063208109719738,0.03220035778175313,0.015503875968992248,0.004770423375074538,0.004770423375074538,0.005366726296958855,0.01311866428145498,0.013714967203339297,0.0005963029218843172,0.03577817531305903,0.01311866428145498,0.018485390578413835,0.008944543828264758,0.0029815146094215863,0.008944543828264758
MAP3K2,0.013540422142572681,0.00398247710075667,0.0027877339705296694,0.006371963361210673,0.0067702110712863405,0.0314615690959777,0.02190362405416169,0.018319394663480686,0.0015929908403026682,0.0027877339705296694,0.012743926722421346,0.009557945041816009,0.0047789725209080045,0.0067702110712863405,0.001991238550378335,0.005973715651135006,0.0067702110712863405,0.02031063321385902,0.010354440461967344,0.017124651533253685,0.001991238550378335,0.00039824771007566706,0.04261250497809638,0.4038231780167264,0.027479091995221028,0.0314615690959777,0.04978096375945838,0.012743926722421346,0.04221425726802071,0.014336917562724014,0.00398247710075667,0.005177220230983672,0.005177220230983672,0.005575467941059339,0.01632815611310235,0.0011947431302270011,0.03345280764635603,0.02867383512544803,0.0326563122262047,0.015531660692951015,0.0031859816806053365,0.01632815611310235
MAP3K5,0.030758714969241284,0.02323991797676008,0.002050580997949419,0.012987012987012988,0.001367053998632946,0.0177717019822283,0.005468215994531784,0.014354066985645933,0.004784688995215311,0.001367053998632946,0.01161995898838004,0.016404647983595352,0.0,0.016404647983595352,0.005468215994531784,0.001367053998632946,0.010252904989747095,0.001367053998632946,0.005468215994531784,0.023923444976076555,0.00888585099111415,0.0,0.045112781954887216,0.019138755980861243,0.41353383458646614,0.00888585099111415,0.10594668489405332,0.014354066985645933,0.006151742993848257,0.02734107997265892,0.004784688995215311,0.004784688995215311,0.000683526999316473,0.028024606971975393,0.008202323991797676,0.001367053998632946,0.017088174982911826,0.026657552973342446,0.014354066985645933,0.01845522898154477,0.004784688995215311,0.015037593984962405
MAP3K9,0.0072231139646869984,0.002407704654895666,0.0008025682182985554,0.011235955056179775,0.008025682182985553,0.016853932584269662,0.028089887640449437,0.014446227929373997,0.0008025682182985554,0.0,0.028089887640449437,0.00882825040128411,0.0,0.006420545746388443,0.0008025682182985554,0.0008025682182985554,0.00882825040128411,0.0,0.0032102728731942215,0.009630818619582664,0.0008025682182985554,0.0008025682182985554,0.01043338683788122,0.08346709470304976,0.01043338683788122,0.6219903691813804,0.011235955056179775,0.0032102728731942215,0.0056179775280898875,0.0032102728731942215,0.013643659711075442,0.002407704654895666,0.013643659711075442,0.0072231139646869984,0.00882825040128411,0.0016051364365971107,0.016051364365971106,0.014446227929373997,0.002407704654895666,0.004815409309791332,0.0032102728731942215,0.0040128410914927765
MAPK7,0.00984251968503937,0.00853018372703412,0.020341207349081365,0.01706036745406824,0.0013123359580052493,0.010498687664041995,0.005249343832020997,0.04199475065616798,0.004593175853018373,0.0026246719160104987,0.01115485564304462,0.001968503937007874,0.0,0.013779527559055118,0.0006561679790026247,0.0026246719160104987,0.013779527559055118,0.004593175853018373,0.0006561679790026247,0.015091863517060367,0.0026246719160104987,0.0006561679790026247,0.051181102362204724,0.010498687664041995,0.045275590551181105,0.005905511811023622,0.562992125984252,0.011811023622047244,0.00853018372703412,0.015091863517060367,0.004593175853018373,0.001968503937007874,0.003937007874015748,0.01115485564304462,0.00853018372703412,0.003937007874015748,0.01968503937007874,0.016404199475065617,0.005905511811023622,0.00984251968503937,0.005905511811023622,0.007217847769028871
MOS,0.028488372093023257,0.022965116279069768,0.008430232558139536,0.020930232558139535,0.007848837209302326,0.01366279069767442,0.007267441860465116,0.01744186046511628,0.0029069767441860465,0.007267441860465116,0.012790697674418604,0.013372093023255814,0.006104651162790698,0.02703488372093023,0.00813953488372093,0.013372093023255814,0.04622093023255814,0.006104651162790698,0.006686046511627907,0.015406976744186047,0.022093023255813953,0.009011627906976745,0.038081395348837206,0.01627906976744186,0.03430232558139535,0.005232558139534884,0.07151162790697674,0.17412790697674418,0.025290697674418605,0.04825581395348837,0.009883720930232558,0.0069767441860465115,0.04186046511627907,0.022674418604651164,0.015697674418604653,0.007267441860465116,0.009883720930232558,0.06482558139534884,0.012209302325581395,0.017732558139534883,0.01308139534883721,0.04127906976744186
MYD88,0.03851963746223565,0.012462235649546828,0.0026435045317220545,0.008685800604229608,0.0033987915407854984,0.02001510574018127,0.007175226586102719,0.015861027190332326,0.0,0.0007552870090634441,0.008308157099697885,0.01095166163141994,0.0018882175226586104,0.008685800604229608,0.0030211480362537764,0.0007552870090634441,0.0015105740181268882,0.07666163141993958,0.0188821752265861,0.008308157099697885,0.004909365558912387,0.0,0.043429003021148035,0.026435045317220542,0.027945619335347432,0.0033987915407854984,0.029833836858006044,0.006042296072507553,0.2692598187311178,0.040407854984894256,0.00906344410876133,0.0075528700906344415,0.006797583081570997,0.03965256797583082,0.02190332326283988,0.0022658610271903325,0.04984894259818731,0.02001510574018127,0.1148036253776435,0.02152567975830816,0.0015105740181268882,0.004909365558912387
PIK3R2,0.031446540880503145,0.03887935963407661,0.016580903373356205,0.009148084619782733,0.0,0.016009148084619784,0.002287021154945683,0.018296169239565466,0.0,0.004002287021154946,0.0017152658662092624,0.002287021154945683,0.002287021154945683,0.005717552887364208,0.012578616352201259,0.0005717552887364208,0.024013722126929673,0.009719839908519153,0.003430531732418525,0.003430531732418525,0.05946255002858777,0.0005717552887364208,0.007432818753573471,0.0011435105774728416,0.0137221269296741,0.0011435105774728416,0.02801600914808462,0.008004574042309892,0.0017152658662092624,0.47398513436249284,0.0005717552887364208,0.007432818753573471,0.0005717552887364208,0.016009148084619784,0.0,0.018867924528301886,0.005717552887364208,0.09090909090909091,0.006289308176100629,0.009719839908519153,0.017724413950829045,0.02858776443682104
PRKACA,0.009103641456582634,0.00980392156862745,0.0014005602240896359,0.03431372549019608,0.004901960784313725,0.022408963585434174,0.0028011204481792717,0.0014005602240896359,0.0196078431372549,0.0,0.06302521008403361,0.009103641456582634,0.0035014005602240898,0.031512605042016806,0.0014005602240896359,0.036414565826330535,0.0056022408963585435,0.00980392156862745,0.02661064425770308,0.0056022408963585435,0.011204481792717087,0.0063025210084033615,0.01680672268907563,0.0035014005602240898,0.0028011204481792717,0.0021008403361344537,0.0035014005602240898,0.0007002801120448179,0.008403361344537815,0.004201680672268907,0.4880952380952381,0.009103641456582634,0.004201680672268907,0.014005602240896359,0.055322128851540614,0.0,0.0021008403361344537,0.01610644257703081,0.023109243697478993,0.00980392156862745,0.0021008403361344537,0.018207282913165267
